ISBN,avg_rating,rating_count,Book-Title,Book-Author,Year-Of-Publication,popularity_score
000636988X,9.0,1,How Not to Be a Perfect Mother: The Crafty Mother's Guide to a Quiet Life (How Not to),Libby Purves,1986.0,9.0
000649840X,7.611111111111111,18,Angelas Ashes,Frank Mccourt,0.0,137.0
000654861X,10.0,1,Life and Death in Shanghai,Nien Cheng,1995.0,10.0
000692347X,10.0,1,The Clue of the Broken Locket (The Nancy Drew Mysteries),Carolyn Keene,1988.0,10.0
002026478X,8.25,4,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993.0,33.0
002031275X,9.0,1,TOLKIEN : The Illustrated Encyclopaedia,David Day,1992.0,9.0
002322410X,8.0,1,"Plato : Euthyphro, Apology, Crito",F. J. Church,1956.0,8.0
002346450X,8.0,1,The Consolation of Philosophy : Boethius,Richard H. Green,1962.0,8.0
002542730X,7.961538461538462,26,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994.0,207.0
002862615X,10.0,1,The Unofficial Guide to Disneyland 1999 (Serial),Arthur Frommer,1998.0,10.0
006000438X,7.583333333333333,12,The Death of Vishnu: A Novel,Manil Suri,2002.0,91.0
006000469X,8.0,2,"Engaged to Die : A Death on Demand Mystery (Hart, Carolyn G)",Carolyn Hart,2003.0,16.0
006001203X,7.0,10,Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001.0,70.0
006008216X,6.0,2,Get Shorty,Elmore Leonard,2002.0,12.0
006015781X,7.0,1,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987.0,7.0
006016249X,9.0,1,Outer Banks,Anne Rivers Siddons,1991.0,9.0
006016848X,6.833333333333333,18,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",John Gray,1992.0,123.0
006017143X,8.166666666666666,6,The Night Listener,Armistead Maupin,2000.0,49.0
006017935X,7.0,2,Hill Towns,Anne Rivers Siddons,1993.0,14.0
006018311X,7.25,4,"When You Look Like Your Passport Photo, It's Time to Go Home",Erma Bombeck,1991.0,29.0
006018650X,5.333333333333333,3,A Secret Affair,Barbara Taylor Bradford,1996.0,16.0
006018700X,8.0,1,Design for Dying,Timothy Leary,1997.0,8.0
006019197X,6.5,2,Pilgrim,Timothy Findley,2000.0,13.0
006019295X,7.0,1,Hello to the Cannibals: A Novel,Richard Bausch,2002.0,7.0
006019345X,9.0,1,The Divine Secrets of the Ya Ya Sisterhood (Holiday Cover Edition),Rebecca Wells,1998.0,9.0
